asset,policy,delay_ms,fee_bps,fill_fraction,adverse_selection_bps,daily_utility_difference,mlp_minus_logistic_utility,mlp_minus_logistic_f1,opposite_mean_directions
BTC,fixed_confidence,100,5,0.5,1,"[-0.6116404416617378, -0.24831222879819614, -0.9988849361499349]",-0.619612535536623,0.17993554428546674,True
BTC,fixed_confidence,100,5,0.5,5,"[-0.8401947564694221, -0.3415021929559019, -1.382395188952936]",-0.85469737945942,0.17993554428546674,True
BTC,fixed_confidence,100,5,1,0,"[-1.1090037259196333, -0.45002947551753936, -1.8060147458983693]",-1.1216826491118475,0.17993554428546674,True
BTC,fixed_confidence,100,5,1,1,"[-1.2232808833234756, -0.4966244575963923, -1.9977698722998698]",-1.239225071073246,0.17993554428546674,True
BTC,fixed_confidence,100,5,1,5,"[-1.6803895129388442, -0.6830043859118038, -2.764790377905872]",-1.70939475891884,0.17993554428546674,True
BTC,fixed_confidence,500,0,0.25,0,"[0.005002101724089131, 0.0038798554652424867, 0.02437647687122909]",0.011086144686853568,0.17993554428546674,False
BTC,fixed_confidence,500,0,0.25,1,"[-0.02356718762687139, -0.007768890054470769, -0.023562304729146066]",-0.018299460803496075,0.17993554428546674,True
BTC,fixed_confidence,500,0,0.25,5,"[-0.1378443450307134, -0.05436387213332383, -0.2153174311306467]",-0.13584188276489464,0.17993554428546674,True
BTC,fixed_confidence,500,0,0.5,0,"[0.010004203448178262, 0.007759710930484973, 0.04875295374245818]",0.022172289373707136,0.17993554428546674,False
BTC,fixed_confidence,500,0,0.5,1,"[-0.04713437525374278, -0.015537780108941537, -0.04712460945829213]",-0.03659892160699215,0.17993554428546674,True
BTC,fixed_confidence,500,0,0.5,5,"[-0.2756886900614268, -0.10872774426664766, -0.4306348622612934]",-0.2716837655297893,0.17993554428546674,True
BTC,fixed_confidence,500,0,1,0,"[0.020008406896356523, 0.015519421860969947, 0.09750590748491636]",0.04434457874741427,0.17993554428546674,False
BTC,fixed_confidence,500,0,1,1,"[-0.09426875050748557, -0.031075560217883075, -0.09424921891658426]",-0.0731978432139843,0.17993554428546674,True
BTC,fixed_confidence,500,0,1,5,"[-0.5513773801228536, -0.21745548853329533, -0.8612697245225868]",-0.5433675310595786,0.17993554428546674,True
BTC,fixed_confidence,500,5,0.25,0,"[-0.28069014136407744, -0.11260623615239584, -0.45501135864813386]",-0.2827692453882024,0.17993554428546674,True
BTC,fixed_confidence,500,5,0.25,1,"[-0.30925943071503814, -0.12425498167210908, -0.502950140248509]",-0.3121548508785521,0.17993554428546674,True
BTC,fixed_confidence,500,5,0.25,5,"[-0.4235365881188802, -0.17084996375096217, -0.6947052666500096]",-0.42969727283995063,0.17993554428546674,True
BTC,fixed_confidence,500,5,0.5,0,"[-0.5613802827281549, -0.2252124723047917, -0.9100227172962677]",-0.5655384907764048,0.17993554428546674,True
BTC,fixed_confidence,500,5,0.5,1,"[-0.6185188614300763, -0.24850996334421815, -1.005900280497018]",-0.6243097017571042,0.17993554428546674,True
BTC,fixed_confidence,500,5,0.5,5,"[-0.8470731762377604, -0.34169992750192435, -1.3894105333000193]",-0.8593945456799013,0.17993554428546674,True
BTC,fixed_confidence,500,5,1,0,"[-1.1227605654563098, -0.4504249446095834, -1.8200454345925354]",-1.1310769815528097,0.17993554428546674,True
BTC,fixed_confidence,500,5,1,1,"[-1.2370377228601526, -0.4970199266884363, -2.011800560994036]",-1.2486194035142084,0.17993554428546674,True
BTC,fixed_confidence,500,5,1,5,"[-1.6941463524755207, -0.6833998550038487, -2.7788210666000386]",-1.7187890913598025,0.17993554428546674,True
ETH,argmax,0,0,0.25,0,"[0.012201606874995198, 0.055026468758050895, 0.0164080221575785]",0.02787869926354153,0.1584938751647065,False
ETH,argmax,0,0,0.25,1,"[0.04482426292431446, 0.17056210682890022, 0.12694005950250747]",0.11410880975190739,0.1584938751647065,False
ETH,argmax,0,0,0.25,5,"[0.1753148871215915, 0.6327046591122977, 0.5690682088822235]",0.4590292517053709,0.1584938751647065,False
ETH,argmax,0,0,0.5,0,"[0.024403213749990396, 0.11005293751610179, 0.032816044315157]",0.05575739852708306,0.1584938751647065,False
ETH,argmax,0,0,0.5,1,"[0.08964852584862892, 0.34112421365780043, 0.25388011900501495]",0.22821761950381478,0.1584938751647065,False
ETH,argmax,0,0,0.5,5,"[0.350629774243183, 1.2654093182245953, 1.138136417764447]",0.9180585034107418,0.1584938751647065,False
ETH,argmax,0,0,1,0,"[0.04880642749998079, 0.22010587503220358, 0.065632088630314]",0.11151479705416611,0.1584938751647065,False
ETH,argmax,0,0,1,1,"[0.17929705169725785, 0.6822484273156009, 0.5077602380100299]",0.45643523900762956,0.1584938751647065,False
ETH,argmax,0,0,1,5,"[0.701259548486366, 2.5308186364491907, 2.276272835528894]",1.8361170068214836,0.1584938751647065,False
ETH,argmax,0,5,0.25,0,"[0.33842955324198964, 1.210384292594574, 1.1217195568161962]",0.8901778008842532,0.1584938751647065,False
ETH,argmax,0,5,0.25,1,"[0.37105220929130844, 1.3259199306654237, 1.2322515941611252]",0.9764079113726192,0.1584938751647065,False
ETH,argmax,0,5,0.25,5,"[0.5015428334885863, 1.788062482948821, 1.6743797435408414]",1.321328353326083,0.1584938751647065,False
ETH,argmax,0,5,0.5,0,"[0.6768591064839793, 2.420768585189148, 2.2434391136323923]",1.7803556017685065,0.1584938751647065,False
ETH,argmax,0,5,0.5,1,"[0.7421044185826169, 2.6518398613308474, 2.4645031883222503]",1.9528158227452383,0.1584938751647065,False
ETH,argmax,0,5,0.5,5,"[1.0030856669771726, 3.576124965897642, 3.348759487081683]",2.642656706652166,0.1584938751647065,False
ETH,argmax,0,5,1,0,"[1.3537182129679586, 4.841537170378296, 4.486878227264785]",3.560711203537013,0.1584938751647065,False
ETH,argmax,0,5,1,1,"[1.4842088371652338, 5.303679722661695, 4.929006376644501]",3.9056316454904767,0.1584938751647065,False
ETH,argmax,0,5,1,5,"[2.006171333954345, 7.152249931795284, 6.697518974163366]",5.285313413304332,0.1584938751647065,False
ETH,argmax,100,0,0.25,0,"[0.013058889459298468, 0.054975966743949084, 0.01697654257643851]",0.02833713292656202,0.1584938751647065,False
ETH,argmax,100,0,0.25,1,"[0.04568154550861778, 0.17051160481479846, 0.1275085799213675]",0.11456724341492791,0.1584938751647065,False
ETH,argmax,100,0,0.25,5,"[0.1761721697058949, 0.632654157098196, 0.5696367293010838]",0.4594876853683916,0.1584938751647065,False
ETH,argmax,100,0,0.5,0,"[0.026117778918596936, 0.10995193348789817, 0.03395308515287702]",0.05667426585312404,0.1584938751647065,False
ETH,argmax,100,0,0.5,1,"[0.09136309101723555, 0.3410232096295969, 0.255017159842735]",0.22913448682985582,0.1584938751647065,False
ETH,argmax,100,0,0.5,5,"[0.3523443394117898, 1.265308314196392, 1.1392734586021676]",0.9189753707367831,0.1584938751647065,False
ETH,argmax,100,0,1,0,"[0.05223555783719387, 0.21990386697579634, 0.06790617030575404]",0.11334853170624808,0.1584938751647065,False
ETH,argmax,100,0,1,1,"[0.1827261820344711, 0.6820464192591938, 0.51003431968547]",0.45826897365971164,0.1584938751647065,False
ETH,argmax,100,0,1,5,"[0.7046886788235796, 2.530616628392784, 2.278546917204335]",1.8379507414735663,0.1584938751647065,False
ETH,argmax,100,5,0.25,0,"[0.3392868632901713, 1.2103336065657044, 1.1222883010506122]",0.8906362569688294,0.1584938751647065,False
ETH,argmax,100,5,0.25,1,"[0.37190951933949057, 1.3258692446365536, 1.2328203383955412]",0.9768663674571951,0.1584938751647065,False
ETH,argmax,100,5,0.25,5,"[0.5024001435367675, 1.7880117969199514, 1.6749484877752567]",1.3217868094106586,0.1584938751647065,False
ETH,argmax,100,5,0.5,0,"[0.6785737265803427, 2.420667213131409, 2.2445766021012243]",1.7812725139376588,0.1584938751647065,False
ETH,argmax,100,5,0.5,1,"[0.7438190386789811, 2.6517384892731073, 2.4656406767910823]",1.9537327349143903,0.1584938751647065,False
ETH,argmax,100,5,0.5,5,"[1.004800287073535, 3.5760235938399028, 3.3498969755505135]",2.6435736188213173,0.1584938751647065,False
ETH,argmax,100,5,1,0,"[1.3571474531606853, 4.841334426262818, 4.489153204202449]",3.5625450278753177,0.1584938751647065,False
ETH,argmax,100,5,1,1,"[1.4876380773579623, 5.303476978546215, 4.931281353582165]",3.9074654698287805,0.1584938751647065,False
ETH,argmax,100,5,1,5,"[2.00960057414707, 7.1520471876798055, 6.699793951101027]",5.2871472376426345,0.1584938751647065,False
ETH,argmax,500,0,0.25,0,"[0.014785826738000742, 0.055378691288855905, 0.019388127455474746]",0.0298508818274438,0.1584938751647065,False
ETH,argmax,500,0,0.25,1,"[0.047408482787320044, 0.17091432935970519, 0.12992016480040378]",0.11608099231580966,0.1584938751647065,False
ETH,argmax,500,0,0.25,5,"[0.177899106984597, 0.6330568816431025, 0.5720483141801199]",0.46100143426927315,0.1584938751647065,False
ETH,argmax,500,0,0.5,0,"[0.029571653476001485, 0.11075738257771181, 0.03877625491094949]",0.0597017636548876,0.1584938751647065,False
ETH,argmax,500,0,0.5,1,"[0.09481696557464009, 0.34182865871941037, 0.25984032960080755]",0.23216198463161933,0.1584938751647065,False
ETH,argmax,500,0,0.5,5,"[0.355798213969194, 1.266113763286205, 1.1440966283602398]",0.9220028685385463,0.1584938751647065,False
ETH,argmax,500,0,1,0,"[0.05914330695200297, 0.22151476515542362, 0.07755250982189899]",0.1194035273097752,0.1584938751647065,False
ETH,argmax,500,0,1,1,"[0.18963393114928018, 0.6836573174388207, 0.5196806592016151]",0.46432396926323866,0.1584938751647065,False
ETH,argmax,500,0,1,5,"[0.711596427938388, 2.53222752657241, 2.2881932567204797]",1.8440057370770926,0.1584938751647065,False
ETH,argmax,500,5,0.25,0,"[0.34101394291605214, 1.2107362549786014, 1.124700860177768]",0.8921503526908072,0.1584938751647065,False
ETH,argmax,500,5,0.25,1,"[0.3736365989653714, 1.3262718930494508, 1.235232897522697]",0.9783804631791732,0.1584938751647065,False
ETH,argmax,500,5,0.25,5,"[0.5041272231626484, 1.7884144453328479, 1.6773610469024134]",1.3233009051326365,0.1584938751647065,False
ETH,argmax,500,5,0.5,0,"[0.6820278858321043, 2.4214725099572028, 2.249401720355536]",1.7843007053816144,0.1584938751647065,False
ETH,argmax,500,5,0.5,1,"[0.7472731979307428, 2.6525437860989016, 2.470465795045394]",1.9567609263583463,0.1584938751647065,False
ETH,argmax,500,5,0.5,5,"[1.0082544463252967, 3.5768288906656958, 3.3547220938048268]",2.646601810265273,0.1584938751647065,False
ETH,argmax,500,5,1,0,"[1.3640557716642085, 4.8429450199144055, 4.498803440711072]",3.568601410763229,0.1584938751647065,False
ETH,argmax,500,5,1,1,"[1.4945463958614855, 5.305087572197803, 4.940931590090788]",3.9135218527166926,0.1584938751647065,False
ETH,argmax,500,5,1,5,"[2.0165088926505934, 7.1536577813313915, 6.7094441876096536]",5.293203620530546,0.1584938751647065,False
ETH,fixed_confidence,0,0,0.25,0,"[0.0015860986861380686, -0.000924313972106545, 0.002295520067072427]",0.0009857682603679836,0.1584938751647065,False
ETH,fixed_confidence,0,0,0.25,1,"[-0.02657341839580388, -0.004061317813335738, -0.006038879046198665]",-0.012224538418446096,0.1584938751647065,True
ETH,fixed_confidence,0,0,0.25,5,"[-0.13921148672357164, -0.01660933317825251, -0.03937647549928303]",-0.0650657651337024,0.1584938751647065,True
ETH,fixed_confidence,0,0,0.5,0,"[0.0031721973722761373, -0.00184862794421309, 0.004591040134144854]",0.0019715365207359672,0.1584938751647065,False
ETH,fixed_confidence,0,0,0.5,1,"[-0.05314683679160776, -0.008122635626671476, -0.01207775809239733]",-0.02444907683689219,0.1584938751647065,True
ETH,fixed_confidence,0,0,0.5,5,"[-0.2784229734471433, -0.03321866635650502, -0.07875295099856607]",-0.1301315302674048,0.1584938751647065,True
