family,endpoint,metric,status,delta,mix,within,mix_F,mix_A,mix_N,within_F,within_A,within_N
rebound,pooled,C,evaluable,0.014667495367337302,0.008656149682381322,0.006011345684955963,0.01393879947140343,0.02019067651988914,-0.02547332630891125,0.0016317660428211043,0.005637707121961388,-0.0012581274798265291
rebound,pooled,P,evaluable,0.01657804849001565,0.010108360911899227,0.006469687578116397,0.014120456694928892,0.02055251609897944,-0.024564611882009105,0.001027853756992219,0.007217483923150886,-0.0017756501020267084
rebound,pooled,R,evaluable,0.02183383570149061,0.017753988400740668,0.004079847300749922,0.015289704429474244,0.024259810123532354,-0.02179552615226593,-0.0012015577445235002,0.0035865338995871472,0.0016948711456862748
rebound,pooled,onehot-F,evaluable,-0.019596801767951755,-0.019596801767952476,1.1924189607410056e-15,0.0,0.07588556989999237,-0.09548237166794485,0.0,7.883059381830184e-16,4.041130225579872e-16
rebound,pooled,onehot-A,evaluable,-0.0758855698999924,-0.07588556989999246,3.8820413169685516e-16,0.019596801767952393,0.0,-0.09548237166794485,-1.5908890861132066e-17,0.0,4.041130225579872e-16
rebound,pooled,onehot-N,evaluable,0.09548237166794471,0.09548237166794477,7.723970473218863e-16,0.019596801767952393,0.07588556989999237,-0.0,-1.5908890861132066e-17,7.883059381830184e-16,0.0
rebound,pooled,uniform,evaluable,-1.1102230246251565e-16,1.474514954580286e-17,2.3628782131566023e-16,0.006532267255984132,0.02529518996666414,-0.03182745722264826,7.954445430566033e-18,2.6276864606100613e-17,2.020565112789936e-16
rebound,pooled,train-frequency,evaluable,0.0077754445256835725,0.0077754445256832585,-7.30857165628931e-18,0.012610971280445383,0.019344157083923272,-0.024179683838685396,1.5908890861132066e-17,5.2553729212201227e-17,-7.57711917296226e-17
rebound,pooled,P-C,evaluable,0.0019105531226784377,0.0014522112295178937,0.00045834189316054316,0.0001816572235254638,0.00036183957909028975,0.0009087144269021403,-0.0006039122858288932,0.0015797768011895595,-0.0005175226222001232
rebound,pooled,R-C,evaluable,0.007166340334153386,0.009097838718359334,-0.0019314983842059468,0.0013509049580708147,0.004069133603643204,0.003677800156645316,-0.0028333237873446044,-0.0020511732223741715,0.002952998625512829
rebound,pooled,R-P,evaluable,0.005255787211474937,0.00764562748884144,-0.002389840277366497,0.0011692477345453508,0.0037072940245529147,0.002769085729743175,-0.0022294115015157115,-0.0036309500235637416,0.0034705212477129563
rebound,pooled,C-frequency,evaluable,0.006892050841653943,0.0008807051566980915,0.006011345684955854,0.001327828190958048,0.000846519435965882,-0.0012936424702258385,0.0016317660428211062,0.005637707121961289,-0.0012581274798265417
rebound,pooled,P-frequency,evaluable,0.008802603964332377,0.002332916386215986,0.006469687578116389,0.0015094854144835123,0.0012083590150561718,-0.0003849280433236983,0.0010278537569922111,0.007217483923150846,-0.0017756501020266679
rebound,pooled,R-frequency,evaluable,0.014058391175807327,0.009978543875057425,0.004079847300749907,0.002678733149028863,0.004915653039609086,0.0023841576864194764,-0.0012015577445235002,0.003586533899587121,0.0016948711456862859
rebound,pooled,frequency-uniform,evaluable,0.007775444525683281,0.0077754445256832455,-4.609499146943394e-17,0.006078704024461248,-0.005951032882740868,0.007647773383962865,-7.954445430566033e-18,-6.569216151525153e-18,-3.157132988734275e-17
