family,group,endpoint,metric,n,raw,standardized_group_conditionals,q_F,q_A,q_N,ell_F,ell_A,ell_N
breakout,May-Jul,pooled,onehot-N,774,0.3901808785529717,0.46962962962962934,0.24677002583979332,0.14341085271317836,0.6098191214470284,0.9999999999999991,1.0,0.0
breakout,May-Jul,pooled,uniform,774,0.3333333333333334,0.33333333333333326,0.24677002583979332,0.14341085271317836,0.6098191214470284,0.33333333333333315,0.3333333333333331,0.3333333333333333
breakout,May-Jul,pooled,train-frequency,774,0.28100600376431545,0.2929953360768175,0.24677002583979332,0.14341085271317836,0.6098191214470284,0.3662639231824417,0.5781157750342933,0.17663429355281202
breakout,May-Jul,pooled,P-C,774,-0.004455152690268799,-0.0024276067825991635,0.24677002583979332,0.14341085271317836,0.6098191214470284,0.0115645207932428,-0.0027405174948818703,-0.011340919940350715
breakout,May-Jul,pooled,R-C,774,-0.012488209760746329,-0.009950707523608061,0.24677002583979332,0.14341085271317836,0.6098191214470284,0.0061239696325913005,0.03319325356441062,-0.03076271970400884
breakout,May-Jul,pooled,R-P,774,-0.00803305707047753,-0.007523100741008901,0.24677002583979332,0.14341085271317836,0.6098191214470284,-0.005440551160651494,0.035933771059292505,-0.019421799763658137
breakout,May-Jul,pooled,C-frequency,774,0.007564490634674125,0.019541044872250415,0.24677002583979332,0.14341085271317836,0.6098191214470284,0.09948530642726512,0.09969719041892447,-0.05129908032387814
breakout,May-Jul,pooled,P-frequency,774,0.0031093379444053233,0.017113438089651246,0.24677002583979332,0.14341085271317836,0.6098191214470284,0.11104982722050788,0.09695667292404259,-0.06264000026422885
breakout,May-Jul,pooled,R-frequency,774,-0.004923719126072207,0.009590337348642348,0.24677002583979332,0.14341085271317836,0.6098191214470284,0.1056092760598564,0.13289044398333505,-0.08206180002788697
breakout,May-Jul,pooled,frequency-uniform,774,-0.052327329569017804,-0.04033799725651575,0.24677002583979332,0.14341085271317836,0.6098191214470284,0.032930589849108315,0.24478244170096025,-0.1566990397805212
breakout,Aug-Nov,equal_day,C,1749,0.2848619637430134,0.29682192075362573,0.2569793307673192,0.15529388002253416,0.5877267892101468,0.43865484361874063,0.7096576454559702,0.10537421039585929
breakout,Aug-Nov,equal_day,P,1749,0.2860367632423467,0.30140986850470136,0.2569793307673192,0.15529388002253416,0.5877267892101468,0.4718698255716523,0.7174199467772947,0.09079906700996862
breakout,Aug-Nov,equal_day,R,1749,0.2880409964575665,0.3066295327070802,0.2569793307673192,0.15529388002253416,0.5877267892101468,0.5058175683063209,0.7426515386999466,0.07269891061432962
breakout,Aug-Nov,equal_day,onehot-F,1749,0.7430206692326811,0.6592592592592597,0.2569793307673192,0.15529388002253416,0.5877267892101468,0.0,1.0,1.0000000000000007
breakout,Aug-Nov,equal_day,onehot-A,1749,0.844706119977466,0.8711111111111114,0.2569793307673192,0.15529388002253416,0.5877267892101468,0.9999999999999998,0.0,1.0000000000000007
breakout,Aug-Nov,equal_day,onehot-N,1749,0.4122732107898536,0.46962962962962956,0.2569793307673192,0.15529388002253416,0.5877267892101468,0.9999999999999998,1.0,0.0
breakout,Aug-Nov,equal_day,uniform,1749,0.3333333333333333,0.33333333333333337,0.2569793307673192,0.15529388002253416,0.5877267892101468,0.3333333333333333,0.33333333333333337,0.33333333333333337
breakout,Aug-Nov,equal_day,train-frequency,1749,0.2877128058851434,0.2929953360768177,0.2569793307673192,0.15529388002253416,0.5877267892101468,0.366263923182442,0.5781157750342935,0.1766342935528122
breakout,Aug-Nov,equal_day,P-C,1749,0.0011747994993333369,0.004587947751075661,0.2569793307673192,0.15529388002253416,0.5877267892101468,0.03321498195291174,0.0077623013213244645,-0.014575143385890662
breakout,Aug-Nov,equal_day,R-C,1749,0.003179032714553034,0.00980761195345453,0.2569793307673192,0.15529388002253416,0.5877267892101468,0.06716272468758032,0.03299389324397645,-0.03267529978152966
breakout,Aug-Nov,equal_day,R-P,1749,0.002004233215219697,0.005219664202378861,0.2569793307673192,0.15529388002253416,0.5877267892101468,0.03394774273466857,0.025231591922651987,-0.018100156395639003
breakout,Aug-Nov,equal_day,C-frequency,1749,-0.0028508421421300015,0.00382658467680818,0.2569793307673192,0.15529388002253416,0.5877267892101468,0.07239092043629894,0.13154187042167662,-0.07126008315695279
breakout,Aug-Nov,equal_day,P-frequency,1749,-0.0016760426427966622,0.008414532427883831,0.2569793307673192,0.15529388002253416,0.5877267892101468,0.10560590238921068,0.13930417174300105,-0.08583522654284347
breakout,Aug-Nov,equal_day,R-frequency,1749,0.00032819057242303417,0.013634196630262673,0.2569793307673192,0.15529388002253416,0.5877267892101468,0.13955364512387924,0.16453576366565303,-0.10393538293848249
